NAME,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE
XPUT,BLOCK,Computational parameters,BLOCK,BLOCK
APPLICATION,0,Flag for type of application being modeled,NONE,1
PROCESS,0,Flag for type of process being modeled,NONE,11
SUBPROCESS,0,Flag for type of subprocess being modeled,NONE          ,3
TWFIN,...,Time to end calculation,s,360
ITB,0,Indicator for free surfaces or sharp interfaces,NONE,1
IHELP,1,Flag for mentor help feature,NONE,0
IFIN,1,Selects the basis for termination of the calculation,NONE,3
FRCFIN,1.0,Fill fraction (:envvar:`IFIN` = 2) or solid fraction (:envvar:`IFIN` = 3) for termination of the calculation,NON-DIM,1.0
ITWFIN,...,Number of times steps (cycles) to end calculation.,NONE,2000000000
DLTSTDY,1.0,Variation threshold below which the flow is considered steady state (in percent),PERCENTAGE,1.0
DTIMPX,1.0\ :math:`\times`\ 10\ :sup:`10`,"Maximum Courant number used to limit the time step size in the implicit advection model, :envvar:`IMPADV` = 1. Used in addition to any other limiting factors.",NON-DIM,1.0E10
IFENRG,...,Flag for internal energy evaluation,NONE,2
IHTC,0,Fluid/component/void heat transfer flag ,NONE,1
IFVISC,0,Viscous flow flag,NONE,0
IFVIS,0,Viscosity and turbulence options flag,NONE,0
IFSFT,0,Surface tension flag,NONE ,0
EPSHTC,1.0,Multiplier for temperature iteration convergence criterion,NON-DIM,1.0
OMEGHT,2.0,Relaxation factor for implicit heat transfer and conduction,NON-DIM,2.0
IMPHTC,...,Heat transfer and conduction explicit/implicit flag,NONE,1
CFPK,1.0,Multiplies F-packing term (for :envvar:`IFPK` :math:`>` 0),NON-DIM,1.0
FCLEAN,0.0,"Fluid fraction cleanup coefficient for fluid #1. Throws away fluid #1 ""mist"" regions where local (isolated) fluid fraction within a cell is less than :envvar:`FCLEAN`.",NON-DIM,0.05
FCLEAN2,0.0,"Complement of fluid fraction cleanup coefficient for fluid #2. Throws away fluid #2 ""mist"" regions where local (isolated) fluid fraction complement, :math:`1-F`, within a cell is less than :envvar:`FCLEAN2`.",NON-DIM     ,0.0
EPSADJ,1.0,Multiplier for the calculated pressure iteration convergence criterion ,NON-DIM,1.0
ALPHAMB,0.25 ,Controls weighting of Neumann- and Dirichlet-type boundary conditions for pressure at inter-block boundaries: ,NON-DIM,0.25
IAUTOSET,0,Flag to use algorithm to automatically adjust subspace size used for GMRES pressure solver.,NONE,1
EPSELS,1.0,Convergence adjustment for implicit elastic stress model,NON-DIM,1.0
EPSVIS,1.0,Convergence adjustment for implicit viscous model,NON-DIM,1.0
IFVELP,0,Fluid flow solver options,NONE,2
TLEN,...,Turbulent mixing length,cm],1e-3
ACCIMP,1.0,Coriolis acceleration explicit/implicit weighting parameter,NON-DIM,1.0
IFREST,0,Restart activation flag,NONE,1
RESFILE,""" ""","Name of the restart source file, e.g. :envvar:`resfile` = :file:`'flsgrf.dat'`",NONE,'../Filling/flsgrf.Filling'
TREST,...,Restart calculation time,s,8
DELTR,...,Initial time-step size for restart calculation,s,0.001
IRESF1,0,Fluid condition restart flag,NONE,1
IRSAT,0,Flag to control input parameters for non-condensable gas model,NONE,1
EPSADJCG,1.0,Multiplier for the convergence criterion for the implicit core gas pressure solver.,NON-DIM,1.0
TAURLXCG,0.0,Time over which the metal pressure at core surface is averaged,s,0
ISSDIMCG,4,Sub-scaling dimension of the binder array. Each computational cell within a core is subdivided into :envvar:`ISSDIMCG` equal sub-cells in each coordinate direction to store binder concentration.,sub-cells,4
IFRHO,...,Flag for density evaluation,NONE,1
IFTHEXP,0,Thermal expansion flag for flow with density a function of temperature,NONE,1
GX,0.0,Gravity component in x-direction,cm/s^2,0
GY,0.0,Gravity component in y-direction,cm/s^2,0
GZ,0.0,Gravity component in z-direction,cm/s^2,-9.81
IFDRYING,0,Moisture drying model flag,NONE,1
STRNGMOB,1.0,Global coefficient of Stronge's restitution during collision between coupled-motion GMO components and other components and walls. Values should be between 0.0 and 1.0.,NON-DIM,1.0
FRCMOB,0.0,Global coefficient of friction during collision between coupled-motion GMO components and other components and walls,NON-DIM,0.0
epsi_rad_norm,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
itmax_rad_norm,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,500
epsi_rad_outer,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.1
itmax_rad_outer,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,20
omega_rad_inner,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.3
epsi_rad_inner,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
itmax_rad_inner,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,100
