NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE,REMARK
XPUT,BLOCK,BLOCK,Computational parameters,BLOCK,BLOCK,BLOCK
TWFIN,,...,Time to end calculation,s,0.003,'Simulation Finish Time'
ITB,,0,Indicator for free surfaces or sharp interfaces,NONE,1,
IFENRG,,...,Flag for internal energy evaluation,NONE,2,
IFVISC,,0,Viscous flow flag,NONE,1,
IFSFT,,0,Surface tension flag,NONE ,1,
IMPHTC,,...,Heat transfer and conduction explicit/implicit flag,NONE,1,
IFVOF,,...,Flag for F advection options,NONE,6,
IFDYNCONV,,1,Pressure iteration convergence criterion flag,NONE,1,
IPHCHG,,0,Phase change and bubble model flag,NONE,1,
IFRHO,,...,Flag for density evaluation,NONE,1,
IFTHEXP,,0,Thermal expansion flag for flow with density a function of temperature,NONE,1,
GZ,,0.0,Gravity component in z-direction,cm/s^2,-981,
IFSLD,,0,Solidification model flag,NONE,1,
HFLV1,,0.0,Heat transfer coefficient for fluid #1 to type 1 void,g K^-1 s^-3,1.0e+05,'heat transfer to void type 1'
TEDIT,1,...,Ending time of edit interval :envvar:`n`. Not used if unspecified. ,s,0,
TAPLTD,1,TWFIN` /10,,Selected spatial data output interval from :envvar:`TEDIT(n-1)` to :envvar:`TEDIT(n)` ,[t],1.5e-05,
LIMITS,BLOCK,BLOCK,Computational and print limits,BLOCK,BLOCK,BLOCK
PROPS,BLOCK,BLOCK,Fluid properties,BLOCK,BLOCK,BLOCK
UNITS,,...,Character string used to identify units (up to 10 characters),NONE,'cgs','base units'
TUNITS,,...,Character string used to identify temperature units (up to 10 characters),NONE,'k','temperature units'
MUNITS,,...,"Character string used to identify mass units when ""Custom"" option is chosen (up to 10 characters)",NONE,'g','mass units'
LUNITS,,...,"Character string used to identify length units when ""Custom"" option is chosen (up to 10 characters)",NONE,'cm','length units'
TIMUNITS,,...,"Character string used to identify time units when ""Custom"" option is chosen (up to 10 characters)",NONE,'s','time units'
CUNITS,,...,"Character string used to identify charge units when ""Custom"" option is chosen (up to 10 characters)",NONE,'scoul','charge units'
GAMMA,,1.4,"Exponent in void region equation of state, ``P*V^GAMMA = constant``. Zero or negative value indicates constant pressure. :envvar:`GAMMA` = ratio of specific heats of 'void' gas C\ :sub:`p`/C\ :sub:`v`, assumed constant.",NON-DIM,1.4,'gamma'
PCAV,,...,"Cavitation pressure, used in Cavitation (:envvar:`ICAV` = 1) and Cavitation Potential (:envvar:`IPCAV` :math:`>` 0) models. Defaults to -1 atm. if gauge pressure is used, :envvar:`IPGAUGE` = 1, and to zero otherwise.",g cm^-1 s^-2,0,
MU1,,MUI,,Dynamic viscosity of fluid #1,[M L\ :sup:`-1` t\ :sup:`-1`],0.033,'viscosity'
FLUID1,,"""  """,Character string allowing user to identify fluid #1 (up to 50 characters),NONE,'Bronze_(Ship propeller)','material name'
MUCTST,,1/(1000 • :envvar:`TWFIN`),Minimum fluid strain rate applied in strain rate-dependent viscosity model.,1/s,0.001,
CV1,,0.0,Specific heat of fluid #1,cm^2 s^-2 K^-1,5.7e+6,'specific heat'
TSTAR,,0.0 degrees C or F,Reference temperature for temperature-dependent fluid properties,K,273.15,'reference temperature'
TL1,,0.0,Liquidus temperature of fluid #1,K,1359.15,'liquidus temperature'
TS1,,0.0,Solidus temperature of fluid #1,K,1328.15,'solidus temperature'
CLHT1,,0.0,Latent heat of fusion in fluid #1,cm^2 s^-2,2.2e+9,'latent heat fusion'
CVS1,,CV1,,Specific heat of solidified fluid #1,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`],5e+6,'specific heat'
THCS1,,THC1,,Thermal conductivity of solidified fluid #1,[M L t\ :sup:`-3` T\ :sup:`-1`],0,'thermal conductivity'
RHOFS,,RHOF,,Density of solidified fluid #1,[M/L :sup:`3`],7.6,'density'
TSDRG,,1.0,Coefficient of solidification drag,1/s,1,'coefficient of solidification drag'
FSCR,,0.67,Critical solid fraction above which metal has no fluidity,NON-DIM,1,'critical solid fraction'
FSCO,,0.15,Fraction of solid at coherency point. ,NON-DIM,0,'coherent solid fraction'
PV1,,1.013 :math:`\times` 10\ :sup:`6`,Absolute pressure value on the saturation curve that corresponds to temperature :envvar:`TV1`. The saturation curve defines a relationship between saturation pressure and temperature.,g cm^-1 s^-2,1.013e+6,'saturation pressure'
TV1,,...,Temperature value on the saturation curve that corresponds to pressure :envvar:`PV1`. The saturation curve defines a relationship between saturation pressure and temperature. ,K,2500,'saturation temperature'
CLHV1,,...,Latent heat of vaporization/condensation constant (\ :envvar:`ICLHV1` = 0) *or* value at temperature :envvar:`THV1` (when :envvar:`ICLHV1` = 2),cm^2/s^2,2.256e10,'latent heat of vaporization'
RSIZE,,0.0,Dimensionless accommodation coefficient for the liquid/vapor evaporative phase change rate.,NON-DIM,0.01,'accommodation coefficient'
CVVAP,,...,Vapor specific heat at constant volume of vaporized fluid 1 (\ :envvar:`IPHCHG` = 4) or fluid 2 (\ :envvar:`IPHCHG` = 5).,cm^2 s^-2 K^-1,1.43e7,'vapor specific heat'
TVEXP,,0.0,Exponent in the relationship between saturation pressure and temperature. For perfect gas :envvar:`TVEXP` is equal to (\ :envvar:`GAMMA` -1.0)*\ :envvar:`CVVAP`/\ :envvar:`CLHV1`. The saturation curve is defined by the Clapeyron equation:,NON-DIM,0.0002535461,'exponent for T-P curve'
RHOF,,-1.0,"Density of fluid #1. For temperature-dependent density, fluid #1 density at T=\ :envvar:`TSTAR`.",g/cm :sup:3,6.6,'density'
SIGMA,,0.0,Surface tension coefficient; same as used in :ref:`SurfaceTensionProperties`.,g/s^2,0,'surface tension coefficient'
YIELDT1,,0.0,Fluid #1 yield stress temperature sensitivity,g cm^-1 s^-2 K^-1,0,
MUS,,0.0,Additional viscosity coefficient for density- or solid-fraction-dependent viscosity model. Only used when :envvar:`MUS` :math:`>` 0.0.,g cm^-1 s^-1,50,
THC1,,-1.0,Thermal conductivity of fluid #1,g cm s^-3 K^-1,7e+6,'thermal conductivity'
YIELD1,,-1.0,"Yield stress limit for fluid #1. A negative value means that the yield stress is infinite, that is, no yielding occurs.",g cm^-1 s^-2,-10,'yield stress limit'
IPGAUGE,,...,"Pressure type, absolute or gauge, for all pressure quantities used in the simulation.",NONE,0,'pressure type'
BLKMOD_LIQ,,0.0,"Bulk modulus of liquid phase. Used in the micro-porosity model, :envvar:`IMUPOR` = 1.",g cm^-1 s^-2],6.7e+11,
BLKMOD_FSCR,,0.0,"Bulk modulus of solidifing fluid at critical solid fraction :envvar:`FSCR`. Used in the micro-porosity model, :envvar:`IMUPOR` = 1.",g cm^-1 s^-2],1.3e+12,
SCALAR,BLOCK,BLOCK,Scalar species parameters,BLOCK,BLOCK,BLOCK
NSC,,0,Number of user-defined scalar species,NONE,16,
SCLTIT,1,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Cooling rate R',
ISCLR,1,...,Scalar advection options,NONE,0,
SCLTIT,2,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Evaporation Pressure',
ISCLR,2,...,Scalar advection options,NONE,0,
SCLTIT,3,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'G/R',
ISCLR,3,...,Scalar advection options,NONE,0,
SCLTIT,4,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Heat flux by heat source',
ISCLR,4,...,Scalar advection options,NONE,0,
SCLTIT,5,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Heat flux multiple reflection',
ISCLR,5,...,Scalar advection options,NONE,0,
SCLTIT,6,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Melt region',
ISCLR,6,...,Scalar advection options,NONE,3,
SCLTIT,7,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Melt region length X',
ISCLR,7,...,Scalar advection options,NONE,0,
SCLTIT,8,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Melt region length Y',
ISCLR,8,...,Scalar advection options,NONE,0,
SCLTIT,9,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Melt region length Z',
ISCLR,9,...,Scalar advection options,NONE,0,
SCLTIT,10,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Temperature gradient G',
ISCLR,10,...,Scalar advection options,NONE,0,
SCLTIT,11,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Temperature gradient dT/dx',
ISCLR,11,...,Scalar advection options,NONE,0,
SCLTIT,12,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Temperature gradient dT/dy',
ISCLR,12,...,Scalar advection options,NONE,0,
SCLTIT,13,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Temperature gradient dT/dz',
ISCLR,13,...,Scalar advection options,NONE,0,
SCLTIT,14,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'X reflection',
ISCLR,14,...,Scalar advection options,NONE,0,
SCLTIT,15,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Y reflection',
ISCLR,15,...,Scalar advection options,NONE,0,
SCLTIT,16,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE,'Z reflection',
ISCLR,16,...,Scalar advection options,NONE,0,
CHM,BLOCK,BLOCK,Reaction Kinetics parameters,BLOCK,BLOCK,BLOCK
BCDATA,BLOCK,BLOCK,Boundary condition parameters,BLOCK,BLOCK,BLOCK
IBCT,1,...,Boundary condition type at mesh block boundaries,NONE,2,
HWALL1,1,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1,
TBCT,"1, 1",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],293,
IHTBCT,1,0,Type of heat transfer boundary condition for wall-type mesh boundary :envvar:`n`.,NONE     ,0,
IBCT,2,...,Boundary condition type at mesh block boundaries,NONE,2,
HWALL1,2,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1,
TBCT,"1, 2",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],293,
IHTBCT,2,0,Type of heat transfer boundary condition for wall-type mesh boundary :envvar:`n`.,NONE     ,0,
IBCT,3,...,Boundary condition type at mesh block boundaries,NONE,2,
HWALL1,3,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1,
TBCT,"1, 3",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],293,
IHTBCT,3,0,Type of heat transfer boundary condition for wall-type mesh boundary :envvar:`n`.,NONE     ,0,
IBCT,4,...,Boundary condition type at mesh block boundaries,NONE,2,
HWALL1,4,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1,
TBCT,"1, 4",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],293,
IHTBCT,4,0,Type of heat transfer boundary condition for wall-type mesh boundary :envvar:`n`.,NONE     ,0,
IBCT,5,...,Boundary condition type at mesh block boundaries,NONE,2,
HWALL1,5,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1,
TBCT,"1, 5",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],293,
IHTBCT,5,0,Type of heat transfer boundary condition for wall-type mesh boundary :envvar:`n`.,NONE     ,0,
IBCT,6,...,Boundary condition type at mesh block boundaries,NONE,5,
PBCT,"1, 6",...,"Pressure at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Defaults to zero if gauge pressure is used, :envvar:`IPGAUGE` = 1, and to :envvar:`P_REFERENCE` otherwise.",g cm^-1 s^-2,1.0e+06,
FBCT,"1, 6",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,0,
TBCT,"1, 6",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],293,
IHTBCT,6,0,Type of heat transfer boundary condition for wall-type mesh boundary :envvar:`n`.,NONE     ,0,
MESH,BLOCK,BLOCK,Mesh data for computational grid,BLOCK,BLOCK,BLOCK
MESHNAME,,mesh block no. ##,Mesh block name (up to 256 characters),NONE,'Mesh block 1',
